week_date,regime_int,regime_label,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2010-03-01,0.0,NORMAL,0.9976719393776343,2.7092640055506363e-10,0.0,0.0023280603516928518
2010-03-08,0.0,NORMAL,0.9997759041128067,7.339733604293116e-12,0.0,0.00022409587913434022
2010-03-15,0.0,NORMAL,0.9999022903784446,1.2348554040466257e-12,0.0,9.770962025266983e-05
2010-03-22,0.0,NORMAL,0.9999381055296548,4.4216240713252586e-13,0.0,6.189446947912204e-05
2010-03-29,0.0,NORMAL,0.9999364060690006,1.9448284857122106e-13,0.0,6.35939312122554e-05
2010-04-05,0.0,NORMAL,0.9999737282882504,2.2091401469112764e-14,0.0,2.62717125911338e-05
2010-04-12,0.0,NORMAL,0.999984816455928,6.803731514321482e-15,0.0,1.5183544731504047e-05
2010-04-19,0.0,NORMAL,0.9999923527394915,8.508714923200275e-16,0.0,7.647260020534756e-06
2010-04-26,0.0,NORMAL,0.9999904152905442,5.396362006948646e-16,0.0,9.584710283505489e-06
2010-05-03,0.0,NORMAL,0.9999880794967976,1.35262597811535e-15,0.0,1.192050373729463e-05
2010-05-10,0.0,NORMAL,0.9999892814622947,5.990468546129447e-14,0.0,1.071853789678312e-05
2010-05-17,0.0,NORMAL,0.9996475970829286,3.5744572284551617e-13,0.0,0.0003524029164689073
2010-05-24,0.0,NORMAL,0.9942248385386294,1.1085715836428807e-12,0.0,0.0057751614608695405
2010-05-31,0.0,NORMAL,0.9743757217226218,5.2035857573166075e-11,0.0,0.025624278226059012
2010-06-07,0.0,NORMAL,0.9826761304377736,9.282239702100398e-11,0.0,0.01732386946969157
2010-06-14,0.0,NORMAL,0.9959910896607944,2.9302732757606944e-12,0.0,0.004008910336488938
2010-06-21,0.0,NORMAL,0.9973448659708559,8.140400038848914e-12,0.0,0.002655134021043693
2010-06-28,0.0,NORMAL,0.9990084525170504,6.607505103011397e-13,0.0,0.0009915474825584049
2010-07-05,0.0,NORMAL,0.9999502620194723,5.647983766565409e-13,0.0,4.9737980315229094e-05
2010-07-12,0.0,NORMAL,0.9985435178012622,9.787843989190647e-13,0.0,0.0014564821978157463
2010-07-19,0.0,NORMAL,0.9998181913852352,1.749265889129717e-13,0.0,0.00018180861435647386
2010-07-26,0.0,NORMAL,0.9999092285306369,3.923104379484024e-14,0.0,9.077147017025743e-05
2010-08-02,0.0,NORMAL,0.9999041283493479,8.680118724789655e-14,0.0,9.587165115315196e-05
2010-08-09,0.0,NORMAL,0.9998460820874695,2.1262334885574052e-13,0.0,0.00015391791245287467
2010-08-16,0.0,NORMAL,0.9998961569350626,1.4648633475410744e-14,0.0,0.00010384306546563572
2010-08-23,0.0,NORMAL,0.9999819515279192,2.2300374907075663e-15,0.0,1.8048472161891474e-05
2010-08-30,0.0,NORMAL,0.9999913950584477,6.760085392587938e-16,0.0,8.604940919762558e-06
2010-09-06,0.0,NORMAL,0.9999906759310717,3.8729606138002266e-15,0.0,9.32406812413324e-06
2010-09-13,0.0,NORMAL,0.9999841322154885,9.117538596764736e-15,0.0,1.5867784296858326e-05
2010-09-20,0.0,NORMAL,0.9998580333605033,3.481820433684975e-13,0.0,0.00014196663989945096
2010-09-27,0.0,NORMAL,0.9997333243294078,1.2473128789008033e-12,0.0,0.00026667566928465804
2010-10-04,0.0,NORMAL,0.9990753133862385,1.0009077207998774e-11,0.0,0.0009246866029363821
2010-10-11,0.0,NORMAL,0.9973505800969636,7.108744660160604e-11,0.0,0.0026494198325102965
2010-10-18,0.0,NORMAL,0.9938141995735884,6.222428980339308e-11,0.0,0.006185800363693127
2010-10-25,0.0,NORMAL,0.9990941740366913,8.03284957935455e-13,0.0,0.0009058259619684946
2010-11-01,0.0,NORMAL,0.9999090960656726,7.344898053770829e-14,0.0,9.090393371579971e-05
2010-11-08,0.0,NORMAL,0.9999805872950491,7.326391477540694e-14,0.0,1.941270555815171e-05
